folder,face_0,face_1,face_2,face_3,face_4,glass,beard
10-352-2019022,0.0,0.0,0.0,0.0,1.0,1000,0
100-536-201902,0.0,0.0,0.0,0.0,0.0,1000,1000
108-516-201902,0.0,0.0,0.0,0.0,1.0,0,0
141-616-201902,0.0,0.0,0.0,0.0,1.0,0,0
15-379-2019022,0.0,0.0,0.0,0.0,1.0,1,0
168-615-201902,0.0,0.0,0.0,0.0,1.0,1000,1000
169-620-201902,0.0,0.0,0.0,1.0,0.0,1000,1000
174-626-201902,0.0,0.0,0.0,0.0,1.0,0,0
193-566-201902,0.0,0.0,0.0,0.0,1.0,1000,1000
20190220123243,0.0,0.0,0.0,0.0,1.0,1,0
20190220123251,0.0,0.0,0.0,1.0,0.0,1000,1000
210-686-201902,0.0,0.0,0.0,0.0,0.0,1000,1000
215-392-201902,0.0,0.0,0.0,1.0,0.0,1000,1000
217-515-201902,0.0,0.0,0.0,0.0,1.0,1000,1000
22-403-2019022,0.0,0.0,1.0,0.0,0.0,1000,1000
248-864-201902,0.0,0.0,0.0,0.0,1.0,1,0
259-978-201902,0.0,0.0,0.0,1.0,0.0,1000,1000
274-582-201902,0.0,0.0,0.0,0.0,1.0,0,0
28-401-2019022,0.0,0.0,0.0,1.0,0.0,1,0
281-868-201902,0.0,0.0,0.0,1.0,0.0,0,0
290-655-201902,0.0,0.0,0.0,1.0,0.0,1000,0
296-836-201902,0.0,0.0,0.0,1.0,0.0,1000,1000
319-1051-20190,0.0,0.0,0.0,0.0,1.0,0,0
343-716-201902,0.0,0.0,0.0,0.0,1.0,1000,1000
347-934-201902,0.0,0.0,0.0,0.0,1.0,0,0
381-927-201902,0.0,0.0,0.0,1.0,0.0,0,0
388-973-201902,0.0,0.0,0.0,0.0,1.0,0,0
390-947-201902,0.0,0.0,0.0,0.0,1.0,1,0
42-464-2019022,0.0,0.0,0.0,1.0,0.0,1000,1000
429-1028-20190,0.0,0.0,0.0,0.0,1.0,1,0
483-1069-20190,0.0,0.0,0.0,0.0,1.0,1000,1000
518-1068-20190,0.0,0.0,0.0,0.0,1.0,0,0
526-1056-20190,0.0,0.0,0.0,1.0,0.0,1000,1000
53-326-2019022,0.0,0.0,0.0,0.0,1.0,0,0
573-831-201902,0.0,0.0,0.0,1.0,0.0,1000,1000
587-1077-20190,0.0,0.0,0.0,0.0,1.0,1000,0
